Start Date,12/23/2025,,Tool ID,8976
Start Time,12:32:00 AM
End Date,12/23/2025,,Red/Blue Indicator,Red
End Time,01:02:00 AM
Duration,30minutes
Interval,1min

Time,Temperature(°F)
12:32:00 AM,85.9
12:33:00 AM,83.0
12:34:00 AM,102.9
12:35:00 AM,108.9
12:36:00 AM,119.4
12:37:00 AM,122.7
12:38:00 AM,124.0
12:39:00 AM,124.6
12:40:00 AM,124.8
12:41:00 AM,124.1
12:42:00 AM,123.4
12:43:00 AM,122.7
12:44:00 AM,121.6
12:45:00 AM,121.2
12:46:00 AM,119.8
12:47:00 AM,109.0
12:48:00 AM,98.7
12:49:00 AM,113.3
12:50:00 AM,119.3
12:51:00 AM,119.3
12:52:00 AM,117.0
12:53:00 AM,105.8
12:54:00 AM,96.7
12:55:00 AM,112.1
12:56:00 AM,118.6
12:57:00 AM,119.1
12:58:00 AM,113.9
12:59:00 AM,102.7
01:00:00 AM,94.5
01:01:00 AM,111.6
01:02:00 AM,114.7
